Age,Occupation,Risk Tolerance,Investment Duration,Financial Goals,Investment Amount,Liquidity Needs,Investment Recommendation,Annual Income
23,Teacher,Medium,Long-term,Wealth Building,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,1255709
27,Engineer,Low,Long-term,Retirement,222575,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,1142737
43,Banker,Medium,Long-term,Retirement,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,362756
23,Doctor,Medium,Mid-term,Marriage,217651,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,1263939
64,Service Industry,Low,Short-term,Emergency Fund,500000,Medium,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,1160174
32,IT Professional,High,Short-term,Emergency Fund,133952,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,785237
58,Artist,High,Mid-term,Education,367724,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,677816
58,IT Professional,Low,Short-term,Emergency Fund,500000,Medium,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,1044262
41,Government Employee,High,Mid-term,Education,500000,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,1049172
51,Retail Worker,Medium,Long-term,Wealth Building,180603,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,439440
47,Business Owner,Low,Long-term,Wealth Building,500000,Medium,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,964118
55,Service Industry,Medium,Long-term,Retirement,376122,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,492318
21,Artist,Medium,Long-term,Wealth Building,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,682340
27,Banker,Low,Long-term,Retirement,500000,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,361546
33,Artist,Medium,Mid-term,Education,37227,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,706383
21,Service Industry,Medium,Mid-term,Education,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,979000
40,Lawyer,High,Long-term,Retirement,500000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,698833
23,Banker,Low,Mid-term,Marriage,500000,Medium,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,349607
22,Freelancer,High,Mid-term,Education,37508,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,386181
41,Freelancer,Medium,Mid-term,Education,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,636348
50,Consultant,High,Long-term,Retirement,109634,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,694848
43,Lawyer,Medium,Long-term,Wealth Building,37897,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,923856
38,IT Professional,Medium,Short-term,Emergency Fund,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,1149077
52,Artist,Medium,Long-term,Wealth Building,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,402964
64,Self-Employed,Low,Long-term,Retirement,264293,Medium,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,1245828
58,Government Employee,Medium,Mid-term,Education,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,1117977
20,Consultant,Medium,Long-term,Retirement,419716,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,670503
34,Retail Worker,High,Long-term,Retirement,35750,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,1229952
60,Engineer,Low,Mid-term,Marriage,137144,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,742198
39,Banker,Low,Short-term,Emergency Fund,500000,Medium,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,478031
23,Service Industry,Medium,Short-term,Emergency Fund,44311,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,341850
57,Lawyer,Low,Mid-term,Education,461233,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,401631
56,Student,Medium,Long-term,Retirement,80000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,86439
25,Self-Employed,Medium,Long-term,Retirement,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,912800
52,Engineer,High,Mid-term,Marriage,500000,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,414407
26,Artist,Medium,Short-term,Emergency Fund,497330,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,1050664
37,Government Employee,Medium,Short-term,Emergency Fund,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,1142427
52,Teacher,High,Short-term,Emergency Fund,450175,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,899993
59,Consultant,High,Long-term,Wealth Building,500000,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,1070455
40,Doctor,Low,Mid-term,Education,500000,Medium,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,1186786
55,Teacher,Low,Long-term,Retirement,500000,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,907259
50,Freelancer,Medium,Long-term,Retirement,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,648396
29,Service Industry,Medium,Long-term,Wealth Building,234854,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,571428
47,Self-Employed,Medium,Short-term,Emergency Fund,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,685401
35,Retail Worker,High,Long-term,Wealth Building,500000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,486607
23,Student,Medium,Short-term,Emergency Fund,43941,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,98056
55,Government Employee,Medium,Short-term,Emergency Fund,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,459919
34,IT Professional,High,Short-term,Emergency Fund,500000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,710181
28,Teacher,Low,Mid-term,Marriage,318382,High,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,613050
38,Student,High,Long-term,Wealth Building,80000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,97009
35,Engineer,Low,Mid-term,Marriage,500000,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,1078406
42,Consultant,Medium,Long-term,Wealth Building,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,406763
42,Teacher,Medium,Short-term,Emergency Fund,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,754680
63,IT Professional,Low,Short-term,Emergency Fund,226337,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,392256
31,IT Professional,Medium,Short-term,Emergency Fund,379207,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,747501
36,Banker,Low,Mid-term,Education,500000,Medium,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,1144159
63,Retail Worker,Low,Long-term,Retirement,500000,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,1111703
18,IT Professional,Low,Mid-term,Education,500000,Medium,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,1285003
23,Consultant,High,Long-term,Retirement,500000,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,336586
26,Freelancer,High,Mid-term,Education,500000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,874750
60,Freelancer,High,Mid-term,Marriage,500000,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,1009747
57,Retail Worker,Low,Mid-term,Marriage,359901,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,608267
45,Consultant,Medium,Long-term,Wealth Building,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,932162
44,IT Professional,High,Long-term,Wealth Building,93386,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,476107
46,Service Industry,High,Mid-term,Marriage,500000,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,1192679
52,Banker,High,Short-term,Emergency Fund,276245,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,731294
63,Freelancer,Low,Mid-term,Marriage,500000,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,836514
58,IT Professional,High,Long-term,Wealth Building,458161,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,466750
33,Engineer,High,Mid-term,Education,3330,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,677724
33,IT Professional,Low,Long-term,Wealth Building,500000,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,1107301
33,Student,Medium,Mid-term,Education,80000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,58439
40,Student,Low,Mid-term,Marriage,80000,Medium,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,59450
48,Artist,High,Long-term,Retirement,130517,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,628991
47,Retail Worker,High,Long-term,Retirement,319016,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,598914
43,Engineer,Medium,Mid-term,Education,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,534249
23,Freelancer,High,Short-term,Emergency Fund,211960,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,359038
41,Consultant,High,Mid-term,Marriage,416552,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,1031221
26,Lawyer,Medium,Long-term,Retirement,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,417276
50,Engineer,Low,Long-term,Wealth Building,500000,High,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,808875
43,Freelancer,Medium,Long-term,Wealth Building,110272,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,557152
34,Engineer,High,Long-term,Retirement,500000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,879189
37,Government Employee,Low,Long-term,Wealth Building,455363,Medium,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,964864
29,Engineer,Low,Short-term,Emergency Fund,500000,High,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,761801
